idx,근거,사고명,본문,원인 키워드,원인,발생지표,요약,재발방지대책,조치결과,DATA,비고
393,GYRO 91호,지상점검 중 OXY MASK가 DROP 된 사례,"""항공기 시동 후 점검 시 'EMER LT' MSG를 확인하고 2회에 걸쳐 S/W를 확인하였으나, 계속 MSG가 시현되어 재차 확인 중 SUPRNMRY OXY S/W의 Guard를 잘못 만져 Oxy MSK가 drop 되었음.(이 항공기는 'A' CHK 후 비행에 투입된 항공기로서 Guard 보호 Cable 이 없는 상태였기 때문에 Guard가 쉽게 Open 됨) OXY Reset을 위해 Ramp로 Return 한 후, EMER LT와 Oxy Mask는 정상으로 Reset(20분소요)이 되었으나 'Suprnmry Oxy On' Status MSG의 Reset에 시간 소모되어 24시간 지연 운항하였음. 

<경위> 
* 정상 시동 후 RECALL CHK 시 'EMER LT' MSG 확인 
* S/W 위치 확인 후 GUARD 원 위치 시 동일 MSG 시현(2회 확인) 
* 부기장과 MEL 확인결과 비행에 제한사항은 없었음 
* 다시 전체적인 기재취급 확인 시 부기장이 'SUPRNMRY OXY S/W'의 GUARD 보호 CABLE 이 끊어져 있는 것을 확인하고 GUARD를 OPEN 
* 약 1시간 후 뒤에서 REST 하고 있던 RC의 OXY MASK DROP 상황 보고 
* STATUS MSG 확인 시 'SUPRNMRY OXY ON' MSG 확인 
* RAMP로 RETURN 후 시동을 끄고 EMER LT S/W 점검 수정 (EMER LT S/W는 철사줄이 넘어가 있어서 GUARD를 닫으면 다시 MSG가 나타나는 것을 확인하고 수정조치가 되었음) 
* 처음 RAMP로 RETURN 시 정비사에게 GUARD 만 열었는데 MASK가 떨어졌다고 하자, 고장탐구가 어렵고 많은 지연이 예상된다고 해서 혹시 GUARD가 보호 철사가 떨어져 있었던 관계로 쉽게 열리면서 S/W를 건드릴 수도 있겠다고 생각해서 빠른 재출발을 위해 정비부서와 정비사가 로그 기록을 하지 않고 산소마스크를 바로 RESET 한 후 출발하기로 협의 
* 약 20분 후 산소마스크 RESET 하고 산소압력 정상 확인 후 바로 재출발 준비가 되었으나 'SUPRNMRY OXY ON' MSG가 없어지지 않아 SYS' 및 MSG RESET을 수차례 시도 하였으나 실패하여 모든 전원을 차단하고 여러 번 재시도하다가 1시간 50분 만에 겨우 성공함 
* LOG 기록단계에서 조종사는 SYS' RESET의 수차례 실패는 기계적 결함의 가능성이 있다는 문제제기와 함께 확실한 점검을 요구하였으며,2시간 가까이 지연되었으므로 LOG에 기록하였음 
* LOG 정리를 위한 문구 때문에 또 다시 지연되는 상황을 예방하기 위해 있는 그대로 정리하기로 합의함 
* GUARD OPEN 시 S/W On이 되었을 가능성이 있겠다고 추정되어 LOG 기록 후 비행함 

<참고사항> 
* 당해 A/C는 'A' CHK 후 첫 비행에 투입된 항공기로서 SUPRNMRY OXY S/W의 GUARD를 보호하는 CABLE 이 끊어져 있었음. 
* 부기장에게 '이 항공기가 오늘 정비검사를 했으니까 좀 더 확실한 내부점검을 하도록 지시'하면서 예전에 검사 후 비행을 위해 APU 시동 시 산소마스크가 떨어진 적도 있다는 경험담을 들려주었음. 이에 따라 부기장이 혹시나하는 생각으로 OXY S/W의 GUARD를 한 번 더 확인한 것으로 생각됨. 
* 항공기가 2시간 이상 지연출발이 되었고 목적지에 도착했을 때에는 이미 아침 보고가 끝나는 시점일 것으로 사료되어 야간 정비담당 및 당해 정비사에게 정비 및 조종부서에 이러한 상황들을 사실대로 보고토록 요청 

비약적인 예이겠지만 조종사들 사이에서 항공기가 정비 검사 후에 이상한 결함이 잘 나타난다고하는 조크를 거울삼아 모든 정비 검사 후에는 비행 전 점검을 철저히하여야 할 필요가 있다고 사료됨.""","""EMER LT' MSG를 확인하고 2회에 걸쳐 S/W를 확인하였으나, 계속 MSG가 시현되어"", ""SUPRNMRY OXY S/W의 Guard를 잘못 만져 Oxy MSK가 drop 되었음"", ""Guard 보호 Cable 이 없는 상태였기 때문에 Guard가 쉽게 Open 됨"", ""SUPRNMRY OXY ON' MSG가 없어지지 않아 SYS' 및 MSG RESET을 수차례 시도 하였으나 실패하여"", ""SUPRNMRY OXY S/W의 GUARD를 보호하는 CABLE 이 끊어져 있었음."", ""기계적 결함의 가능성이 있다는"", ""'SUPRNMRY OXY S/W'의 GUARD 보호 CABLE 이 끊어져 있는 것을 확인하고"", ""GUARD가 보호 철사가 떨어져 있었던 관계로""",,,,,,,
190,GYRO 55호,말썽꾼이여 안녕/객실보고서,"나는 객실승무원으로서 #1 위치에서 일하고 있었다.
이때 #4 위치의 객실승무원이 1등석에 최종탑승자 명단의 10명 보다 많은 11명이 탑승해 있다고 알려왔다.
나는 즉시 명단의 이름을 호명하여 탑승객과 일일이 대조하였더니 1X석에 탑승한 여자 이외에는 모두 일치하였다.
이 여자도 자기이름을 밝혔으나 이름이 1Y석 여자 이름과 동일하였다.
이 여자들의 탑승권을 요구하였더니 1Y석 여자는 연결편 탑승권을 보여주면서 이번 비행편 탑승권은 가지고 있지 않다고 하였다.
그녀의 신분증을 요구하여 확인 하였더니 그녀는 본인임이 확인되었다.
1X석 여자에게도 신분증을 요구하였더니 가지고 있지 않다고 하였다.
나는 그녀에게 비행기에 탑승하지 말았어야 한다고 하고 기장에게 이 사실을 보고하자 기장은 그녀가 당장 어떤 종류라도 좋으니 신분을 증명할 수 있는 서류를 보이던가 아니면 출발게이트로 항공기를 돌리겠다고 하였다.
그 여자는 자기자리에서 일어나 내 앞에 서더니 조용히 말하였다.
'아, 내가 보여줄 게 있어요.' 하더니 지갑을 꺼내어 천천히 펼쳐서 그녀의 신분증을 끄집어내었다.
그녀는 그녀가 주장하는 사람이 아니었다.
그녀는 앞뒤로 흔들거리고 있었고 말이 매우 느려서 그녀에게 술을 마셨는지 물어보니 그녀는 그렇다고 하였다. 그녀를 제자리에 앉히고 기장에게 승객이 술에 취해 있고, 본인의 신분에 대하여 거짓말을 하였음을 보고하였다. 기장은 출발게이트로 돌아가서 보안요원에게 인계하겠다고 하였다… 그 술 취한 여자가 항공기에서 나가면서 나에게 돌아서더니 '당신들은 정말 안전한 항공사를 운영하고 있구려!'하여 내가 '우리는 가능한 한 최대한으로 안전하도록 노력하고 있답니다. 안녕' 하고 대답하였다. ","""최종탑승자 명단의 10명 보다 많은 11명이 탑승해 있다고 알려왔다."", ""본인의 신분에 대하여 거짓말을 하였음을""",,,,,,,
646.00,GYRO 203,,"
모 기지로 착륙하는 과정에서 후미 도어 양쪽에 앉아 있던 승무원들이 항공기 근처에서 비행 중인 드론을 목격하였습니다. 운항승무원들은 착륙 후에나 그 사실을 알게 되었습니다. 운항 승무원들은 혹시 헬리콥터를 본 것이 아니냐고 객실 승무원들에게 질문했지만. 객실 승무원들은 그것이 헬리콥터가 아니었다고 단언하였습니다. 두 명의 운항 승무원들은 모두 대수롭지 않게 여겼지만. 객실 승무원들은 이 사실을 보고해야 되는지 확신이 서지않았습니다. ","""항공기 근처에서 비행 중인 드론을 목격하였습니다.""",,,"착륙 중 드론 발견

CHIRP의견:
객실 승무원들이 착륙한 후 운항 승무원들에게 드론으로 의심되는 물체를 목격한 사실을 보고한 것은 올바른 행동이었으나, 운항승무원들은 보고서를 제출하기 위해 자세한 설명을 요구했을 것이며. 이때 정확한 위치와 높이를 결정하기는 쉽지 않았을 것입니다. 객실 승무원들이 드론으로 의심되는 물체를 목격한
시점은 이미 항공기가 해당 드론을 지나친 때라고 가정한다면, 접근 비행 도중에 그 사실을 운항 승무원들에게 알리는 것온이들의 주의를 산만하게 할 수 있으므로 적절하다고는 볼 수 없습니다. 그러나 이러한 정보는 뒤따라오는 항공기에는 중요할수 있으므로, 객실 승무원은 착륙한 후 안전이 확보되면 지체없이 이 사실을 보고해야 합니다. 그러면 운항 승무원은 적절하다고 판단되는 경우에 해당 정보를 관제실에 전달할 것입니다. 이와는 별개로. 운항 승무원들은 객실 승무원들이 기타 사안을 보고하는데에 부담을 느끼지 않도록 항상 객실 승무원들의보고 내용을 잘 받아들이는 자세를 취해야 합니다. ",,,,공중충돌(예상)
798.00,GYRO 180,,"[Airbus A319가 이태리 밀라노 상공에서 비상착륙공항의 신속하지 못한 협조로 인하여 연료 부족 비상사태가 발생하였다.]

2010년 5월 2일, 루프트한자 LH1835 항공기는 헝가리 부 다페스트에서 현지시간 19:45에 5,800kg의 연료를 싣고 출발하였다. Airbus A319에는 93명의 승객과 6명의 승무원이 탑승하고 있었다. 목적지인 밀라노 말펜사공항 활주로 35R로 착륙하기 위하여 해당 항공기는 3,000피트로 하강하던 중, 20knots의 뒷바람이 맞바람으로 순간 바뀌는 매우 강한 윈드시어에 맞닥뜨렸다. 활주로 접근자체가 불안정 하다고 판단한 기장은 복행절차를 시도하기로 결정하였다. 밀라노 접근관제소는 21:05경 항공기에게 H/D 150, 고도 6,000피트까지 상승하라는 지시를 하였다. 하지만 기상 악화로 인하여 항공기는 더 이상 상승하지 못하고 밀라노 접근관제소의 허가를 받아 5,000피트에서 상승을 멈추었다. 이후, 뒤따르던 두 대의 항공기 또한 강한 윈드시어로 복행 절차를 수행하였다. 기상이 호전되기를 기다리던 중, LH1835 항공기는 접근 관제소에 밀라노 리나테공항으로의 비상착륙 허가를 요청하였고, 밀라노 접근관제소는 즉시 리나테 공항 타워에 연락을 시도하였다. 당시 리나테 공항 타 워의 당직 근무자는 루프트한자의 지상조업사와 연락을 주고 받고 있었으며 그러는 사이에도 LH1835 항공기는 밀라노 접근관제소에 여러 차례 연료부족으로 인한 위태로운 상황을 보고하였다. 밀라노 접근관제소에서 리나테 공항 타워로부터 계속해서 연락을 기다리고 있었던 12:30경, 조종사로부터 2분 정도 후에 연료 부족 비상사태가 선포될 것이라는 보고를 받았다. 그리고 21:32에 드디어 리나테공항 활주로 36 ILS 접근 허가가 떨어졌다. 리나테공항에서 13NM 떨어져있던 LH1835 항공기는 약 2시간 후, 연료부족으로 'Mayday'를 선언한 뒤 약 30분 정도 비행이 가능한 연료만 남아있다고 말하였다. 그리고 비행기는 더 이상의 문제없이 12:42에 밀라노 리나테공항에 착륙하였고, 도착 후 항공기에 남은 연료는 1,100kg이었다. 이 문제와 관련하여 ANSV는 밀라노 리나테 공항 루프트한자 지상조업사가 항공기 비상착륙 요청에 대한 협조 부족으로 상황에 적절하게 대응하지 못했다는 결론을 내렸다. 처음부터 그들은 항공기가 투린공항으로 비상착륙 하기를 원하였기 때문이다. ","""비상착륙공항의 신속하지 못한 협조"", ""20knots의 뒷바람이 맞바람으로 순간 바뀌는 매우 강한 윈드시어"", ""기상 악화"", ""밀라노 리나테 공항 루프트한자 지상조업사가 항공기 비상착륙 요청에 대한 협조 부족""",,,,,,,
871.00,GYRO 167,,"인천 control 관제권에서 비행 중에 AGAV0에서 달리안control로 관제권을 이양하고 초기교신(inital contact)시에 고도 9.800m와 항공기 위치가 AGAVO에서 우측으로 6NM 벗어나 있음을 보고하고 트랜스폰더(sqwark) 설정을 지시받은 후에 radar contact를 전달받았다. 9,800m로 순항비행(약 3~5분 경과)중 훈련 부기장이 예비주파수를 미리 설정하여 준비한다는 게 전환스위치(transfer S/W)를 잘못눌러 주파수가 변경되었다. 이때 교관 및 훈련부기장, 부기장은 주파수가 바뀐지 모르는 상태에서 관제기관에서는 바뀌기 전 주파수로 호출하였으나 주파수가 바뀐 상태였기 때문에 관제사와 교신이 되지않았다. 약 3~5분 경과 후에 비상주파수로 관제기관에서 호출을 한다기에주파수를 확인해보니 바뀌어 있어서 다시 변경하고 교신을 하였다. 교신중에 관제사로부터 9,200m로 고도변경을 지시받아 9,200m로 변경하고 완료 후에 보고하였다. 관제사는 우리에게 '왜 5분간 교신이 안되었나? 고도변경을 해야하는데 교신이 안되었다. 큰문제는 없었으나 위험할 수도있었다. 그리고 현 주파수로 모니터하라'고 지시하였다. 이후 북경관제소로 관제권이 이양되어 특별한 문제없이 북경공항에 성상석으로 착륙하였다. ","""전환스위치(transfer S/W)를 잘못눌러 주파수가 변경되었다."", ""주파수가 바뀐 상태였기 때문에 관제사와 교신이 되지않았다""",,,,,,,
584.00,GYRO 114호,MCP에 고도 Setting 실수로 인한 근접경고 발생,"미국 동부지역 XX 공항을 이륙 후 ATC의 'Climb & Maintain FL210' 지시에 따라 상승 중 고도계 Setting miss로 인하여 약 200ft 정도 overshoot 한 사례임. 
우리는 XX 공항에서 이륙 후 AA Center의 'Direct JERES Climb & Maintain 15,000ft' 지시에 따라 상승하였으며, JERES 이후 계획된 항로 상에서 BB Center로 관제가 이양되었음. 이후 BB Center에서 고도를 FL190, FL200로 연이어 지시하여 고도계에 set 하고 상승 중, 다시 고도를 FL210로 수정 지시함에 따라 PM 이 Readback을 하자, 'Traffic 2 O'clock FL220 SW bound'를 조언하여 ND 상에 나타난 항적을 육안으로 확인코자 하였으나, In Cloud(Thin)상태였기 때문에 ATC에 'Negative Contact Due To Cloud'라고 보고하였음. 
MCP에 고도를 set하는 과정에서 PM은 ATC에서 발부한 FL210를 정확히 Readback 하였으나, PF가 지시고도를 FL290로 잘못 알아듣고 Call out 없이 FL290를 set 하였음. 당시 부기장은 관제사의 Traffic Information 확인 관계로 이를 발견하지 못했음. Traffic 확인 후 PFD의 Altitude Indicator를 보니 고도가 약 20,500ft를 통과 중인 것을 인지하고 MCP의 Altitude Window를 확인한 결과, 고도가 FL290로 잘못 set 되어 있는 것을 발견하였음. 우리는 즉시 ATC에 고도를 Confirm 한 후 PF가 MCP에 FL210를 다시 set 함과 동시에 A/P Disconnect 하고 Manual로 전환하였음. 
이때 TCAS TA가 울렸으며, ATC에서 FL210에 Leveling 하고 있는 지를 물어와 'Leveling 중'이라고 응답하면서 고도계를 확인하니 약 21,200ft를 지시하고 있었음. 상승을 멈추고 강하 시점에서 잠시 TCAS RA가 울렸고, ATC에서 재차 FL210에 Leveling 하고 있는 지를 물어와 '그렇다'고 응답하는 순간 'Clear of Conflict' 되었음. 이후 우리는 정상 비행하였으며, ATC로부터 이에 대한 아무런 질문이나 설명이 없었던 점으로 미루어 보아 상대편 항공기의 회피기동은 없었던 것으로 판단됨. ","""고도계 Setting miss"", ""지시고도를 FL290로 잘못 알아듣고"", ""Call out 없이 FL290를 set"", ""고도가 FL290로 잘못 set 되어 있는 것을 발견""","☞ 짧은 시간동안에 빈번한 관제지시 변경은 조종사가 쉽게 혼선을 일으키는 원인이 될 수 있다. 그러나 당시 관제기관에서 고도를 여러 차례에 걸쳐 상승지시를 발부했다면 진로 상의 Traffic 때문에 어쩔 수 없는 상황이었을 것으로 추정된다. 상기 사례와 같은 재발방지를 위해서는 PF는 어떠한 상황에서 라도 회사절차(Altitude Awareness)에 따라 MCP에 고도를 set 하고 반드시 call out을 하여야 하며, PM은 우선하여 이를 확인하여야 할 것이다. 또한 관제사도 고도를 제한할 때에는 그 이유를 함께 설명을 해주면 조종사에게 많은도움이 될 것이다. ",,,,,,
181,GYRO 55호,"항공기 고장 및 비정상운영 사례

◆ 외국공역 운항 중 낙뢰 ","밀라노에서 이륙 상승 중 FL150 정도 통과 시 낙뢰에 조우함. 
계기 및 항공기 상태가 정상인 상태로 계속 비행하여 인천에 도착하였으며, 도착 후 항공기 외부 점검 시 별다른 이상은 없었음. ","""낙뢰에 조우함.""",,,,,,,
406.00,GYRO 93호,유도로 일시 변경 관련 정보 확인 미흡,"zz공항에서 출발을 위해 Pushback 한 후 Taxi information을 'L1, K3, CROSS RWY 07R, H, N, A1'으로 받고 Taxi 하였음. 출발 전에 당해 공항 Temporary chart가 있는 것은 확인하였으나, 평소 운항하던 지역과는 무관해 보여서 자세히 확인하지 않았음. 
따라서 서쪽 Maintenance area에 위치한 Taxiway 'N'가 Temp Chart에 500' 정도 이설되어 있는 것을 확인하지 못하고 over 함으로서 지상 관제사로부터 'J2, L/H Turn J, J5, J, N'로 수정 지시를 받아 한 바퀴를 선회하여 'N' Taxiway로 진입하였음. ","""Temp Chart에 500' 정도 이설되어 있는 것을 확인하지 못하고 over 함""","ㅇ 문제점 
-Temporary chart 확인 부적절 
-평소 운항 지역과 무관한 것으로 착각하여 NOTAM 내용을 주의 깊게 확인하지 않음 
-이설하여 임시 가설한 Taxiway ""N""의 light가 흐릿하여 차량 통행로로 착각함 
-좌측에는 Taxi way ""N"" 표시가 되어 있으나 우측에는 없음 
-Taxiway 확인이 미심쩍을 경우 우선 정지 후 ATC에 확인을 하여야 함에도 그냥 지나치고 난 후 인지함

☞ 운항 및 관제업무를 담당하고 있는 항공종사자들에게는 설명이 필요 없겠지만 ANNEX-15의 규정에 따른 항공정보의 종류는 NOTAM, AIRAC, AIC 등이 있다. 종류별로 여러 가지의 발행 사례가 있지만 상기 보고내용과 연관된 범위를 예로 들자면 AIC는 법률, 규정, 절차 또는 시설의 중요한 변경에 관한 장기계획 등의 기술적 또는 행정적인 사항에 관한 설명을 위해 발행하고, AIRAC은 공항, 시설 및 업무의 운영시간 또는 활주로, 유도로 등의 설정, 폐지 및 사전계획에 의한 중요한 
변경 등의 정보를 충분한 시간을 두고 관계 항공종사자들에게 알리기 위해 발행하고 있으며, NOTAM은 공항시설의 설치 또는 폐쇄, 기동지역 내 중요한 결함 또는 장애의 발생 또는 제거 등 관계 종사자들이 안전을 위해 필수적으로 알아야하는 내용의 전파를 목적으로 발행하고 있다. 따라서 운항승무원은 반드시 비행 전 절차에 따라 출발지와 목적지 공항 및 경유지와 비행계획서 상의 대체공항까지를 포함한 항공고시보의 공시 내용을 정확히 확인을 하여야 한다. ",,,,,,
902.00,GYRO 162,,"운항준비를 위해 ATIS 획득시 G597 EAST 구간 ENKAS1L라는 정보를 알수 있었다. 항로별로 SID가 정해지므로참고하여 운항준비를 하였다. 이후 관제기관의 허가를 받을 때는 ENKAS 1G로 바뀌었으나 인지하지 못하였다. 이륙 후 서울 DEP 교신시 'Initial climb FL190 ENKAS 1G'를 받고 'FL190 say again next'를 요청하였다. 왠지 ENKAS 1G가 정확하지 않았다. 그러나 결국 발견 못하고 좌선회 시작하였을 때, 바로 관제사의 radar vector 지시가 시작되었고 이후 정상적으로 비행하였다. 관제사는 좌선회시( 'L'는 좌선회 'G'는 우선회였다) 즉각적인vector를 줌으로써 위험한 상황은 미연에 방지 될수 있었다. ATIS에 항로에 따른 SID를 명기해 주는 게편리하긴하나 위와같은 상황이 발생할 수 있는가능성이 높다고 판단이 된다. 따 본 건은 관제기관이 항로허가를 발부하는 과정에서 ATIS를 통하여 제공하는 항공정보와 다른 S IH 발부하였으나, 조종사가 이에 대한 확인을 소홀하고 비행한 사례로서 관제기관은 가장 최신의 상황을 고려하여 관제 허가를 발부하므로 ATIS의 이륙 및 착륙 등에 관한 항공정보와 상이한 허가를 발부할 경우 조종사는 복명복창 절차를 철저히 수행하여 확인하여야 할 것이며. 또한 관제사/조종사간 의사소통의 오류를 방지할 수 있도록 조종실내의 모든 조종사간에도 상호확인 절차를 철저히 준수하여야한다. ","""ENKAS 1G로 바뀌었으나 인지하지 못하였다"", ""조종사가 이에 대한 확인을 소홀하고 비행한 사례"", ""조종사는 복명복창 절차를 철저히 수행하여 확인하여야 할 것"", ""조종실내의 모든 조종사간에도 상호확인 절차를 철저히 준수하여야한다""",,,,,,,
213,GYRO 58호,상승 중 엔진비정상지시,야간에 전방기 착륙 후 바로 이륙을 실시함. SID 경로로 비행 후 항로로 진입하기 위해 약 500 피트(400 피트 AGL)에서 선회를 하는데 Partial Vibration Secondary Engine Indicator가 Display 됨. No.1 엔진파워를 원래 파워에서 3~4% 줄인 90% 근처로 줄임. 오토 파일럿 On하여 계기를 계속 Monitor 함. 해당 엔진의 기타 계기는 정상이었으며 진동 등 외부 증상도 없어 Vibration 제한치 이내를 유지하면서 비행 실시함. 착륙 후 엔진 점검 시 FOD로 추정할 수 있는 Fan의 일부 손상을 발견함. 결과적으로 Rwy 상 또는 Rwy 부근 얼음 덩어리가 강한 바람의 영향으로 날려서 이륙 활주 중에 유입된 것으로 판단됨. 항공기 시스템 상 400 피트 이하의 비정상 상황지시가 inhibit 됨. 따라서 외적 상황이 FOD 가능성이 있을 경우에는 엔진계기 전체를 모니터 할 수 있도록 Secondary Engine Indicator Page를 Display 하고 이륙할 수 있는 테크닉이 필요하다고 판단됨.,"""Rwy 상 또는 Rwy 부근 얼음 덩어리가 강한 바람의 영향으로 날려서 이륙 활주 중에 유입된 것으로""",,,,,,,
38.00,GYRO 7호,이륙 중 타이어 파열,이륙 활주 중 No.2 타이어가 파열되었으며 이로 인해 항공기 동체 하부에 약간의 손상을 입었다. 이륙 후 연료를 Dump 시키고 xx공항에 비상착륙을 시도하였고 착륙은 잘 하였다. 이 과정에서 조종석내 승무원간의 CRM 및 객실 승무원들과 Company와도 상호 협조가 매우 잘 되었다.,"""이륙 활주 중 No.2 타이어가 파열되었으며""",,"지상에서 충돌, 
비정상 활주로 접촉, 
정비요인 회항",이륙 활주 중 No.2 타이어 파열되어 동체 하부에 약간의 손상 발생했으나 이륙 후 연료를 배출하고 문제 없이 비상착륙함,,이륙 중 비정상 상황 발생 시 신속한 판단과 처치는 아무리 강조해도 지나치지 않을 것이다. 보고자는 상황발생 시 각 승무원간 그리고 유관기관과의 협조가 매우 잘 되었다고 보고하였다. 이는 매우 의미가 있는 것으로 비정상 상황에서 혼자만의 능력으로 문제를 해결한다는 것은 거의 불가능하기 때문이다.,,
772.00,GYRO 184,,"AAIB 보고서에 따르면, B747-400 항공기가 Landing gear actuator 설치불량에 따른 유압시스템 고장으로 런던 Gatwick 공항으로 회항 후 착륙한 사례가 있다. 2014년 12월 29일 버진아틀랜트 항공사 소속 B747-400 항공기가 런던 Gatwick 공항을 출발하여 라스베거스를 향했다. 이륙 후 랜딩기어를 접자 유압시스템 4번에 유압액 누출로 인한 용량부족 및 저압경고가 나타났다. 상황해결을 위한 체크리스트를 수행했고 항공기는 런던Gatwick 공항으로 되돌아와서 착륙을 시도했다. 접근을 위해 랜당가어를 내리자 우측 랜딩기어가 기어도어에 걸려서 기어를 완전히 내릴 수가 없었다. 조종사는 항공기를 복행시킨 후착륙을 위한 후속조치와 준비조작을 시도했지만 결국 비정상착륙을 할 수 밖에 없었다. 조사결과, 우측날개 랜딩기어의 hydraulic retract actuator가 바르게 설치되지 않았던 것으로 확인됐다. 이런 종류의 정비는 흔치 않았고, 관련 항공기 정비 매뉴얼(AMM)에는 정비사가 이 특수한 장비들을 어떻게 다뤄야하는지 자세히 설명 되어있지 않았다. 또 일부 부품은 찾을 수도 없었다. 결국 actuator는 위 아래가 바뀐 상태로 항공기에 설치됐다. 그 결과 actuator에 부착된 hydraulic fluid ports가 뒤바뀌어 actuator의 하단 port가 위로 향하게 되었다. AMM에는 해당 정비작업이 끝난 후 기어를 한 바퀴 회전해보도록 하는 점검에 대한 내용이 없었다. 결과적으로 다음날 문제가 된 비행때까지 랜딩기어를 내릴경우 랜딩기어 베이 상단과 hydraulic port 사이에 충분한 공 간이 확보되지 않는 문제점은 확인조차 할 수 없었다. 기어가내려가면서 hydraulic port에 물리적인 힘이 가해졌고 3,000 psi에서 비틀어짐 현상과 유압액 누출 현상이 나타나면서 이로 인해 4번 시스템 유압액이 급격히 감소하고 조종석에 유압액 부족 및 저압경고가 나타나게 된 것이다. ","""Landing gear actuator 설치불량에 따른 유압시스템 고장"", ""유압시스템 4번에 유압액 누출로 인한 용량부족 및 저압경고"", ""우측 랜딩기어가 기어도어에 걸려서 기어를 완전히 내릴 수가 없었다"", ""hydraulic retract actuator가 바르게 설치되지 않았던 것"", ""actuator는 위 아래가 바뀐 상태로 항공기에 설치됐다.""",,,,,,,
249.00,GYRO 78호,프라하 RWY 13 Turning Pad 식별의 어려움 결항,"""프라하 공항 RWY 24/06가 폐쇄되어 RWY 13를 사용 하고 있는 상태였음. 따라서 'F' Taxi way에서 Taxi Down하여 RWY 13로 이륙하기 위해 180° Turning Pad를 찾으면서 천천히 Taxi down 하였으나 야간이고 Lighting 시설 미비(RWY Edge를 따라 일직선으로 규칙
적으로 설치)로 인하여 Turning Pad를 찾지 못하고 Red Bar를 지나 Displaced Threshold 표시를 확인 후 Turning Pad를 지나쳤음을 알고 항공기를 정지시켰음. 그 위치에서 180˚Turn을 시도하려 하였으나 항공기 선회반경이 46m 로써 실제 RWY 쪽 45m를 초과하기 때
문에 항공기를 정지시킨 후 Towing Car를 요구, 주기장으로 다시 돌아와 연료 보급 후 RWY 31로 이륙하였음. 
<문제점> 
-Turning Pad가 Light로 표시되어 있지 않는 등 Lighting (RWY edge) 시설이 미흡함 
-NOTAM에 RWY 13 끝부분 300m가 폐쇄되었다는 정보 그 자체로서는 그 속에 Turning Pad가 포함되었는지 여부를 알 수 없으므로 Pad를 찾다 보면 Red Bar를 침범할 수도 있음""","""야간이고 Lighting 시설 미비"", ""Turning Pad를 찾지 못하고"", ""Turning Pad가 Light로 표시되어 있지 않는 등"", ""RWY 13 끝부분 300m가 폐쇄되었다는 정보 그 자체로서는 그 속에 Turning Pad가 포함되었는지 여부를 알 수 없으므로""",,,,,,,
"1,243.00",GYRO 120,,"aa 공항에 착륙 후 폭설로 인한 BRAKING ACTION 저하에 따라 활주로 상에서 항공기를 정지한 후 안전운항을 위해 TOWING 및 FOLLOW ME CAR를 요청하여 활주로를 개방하였으며, FOLLOW ME CAR의 유도 하에 TAXI IN 하였음. SLIPPERY RUNWAY 착륙 시는 최대한 우선적인 속도감속이 요구되며, 또한 ATC의 정확한 활주로 상태 및 기상정보 제공이 필요하다고 사료됨.","""착륙 후 폭설로 인한 BRAKING ACTION 저하에""",,,,,,,
864.00,GYRO 169,,"미주지역의 화물기 임무로 J-99 항로 상에 중간지점 'BCD'에서 비행계획서의 구간지점(Leg Page)의 경로대로 'Direct ABC(현지공항)'로 비행 중에 항로관제소로부터 '항로에서 벗서나고 있는 중인가?'라는 질문을 받았다.
이에 우리는 '아니다, 우리는 비행계획서대로 BCD에서 공항으로 곧바로 비행하게 되어 있다'라고 대답하였다.
이어서 'Direct CDF'를 지시받아 (CDF는 접근절차 상의 지점임) 비행하면서 다시 확인하니 비행계획서의 제일 앞에 있는 허가경로 항목에는 waypoint 'BCD' 다음에 바로 접근절차의 경로를 따라 공항으로 접근하도록 되어 있는 것을 확인하였다.
이후 항로관제소 및 접근관제소 그리고 관제탑의 관제를 받아 활주로에 계기접근으로 착륙하였다.
통상적으로 'BCD'에서는 다른 항로관제소로 관제이양을 하고 었으나 이날은 'BCD'에서 50NM 이상 더 비행한 후 다른 항로관제소로 관제이양을 받아 경로 재확인의 기회를 갖지 못하였다.","""'BCD'에서 50NM 이상 더 비행한 후 다른 항로관제소로 관제이양을 받아 경로 재확인의 기회를 갖지 못하였다.""",,,,,,,
513.00,GYRO 105호,"기상악화로 인한 비정상 운항 사례들
[포항공항 접근 중 돌풍으로 인한 복행] ","B737 항공기가 포항공항에 착륙을 위해 접근 중 돌풍(풍속 30kts)으로 인하여 실패접근 후 출발공항으로 회항하였으며, 회항 후 승객은 후속편과 타 항공사에 연계 수송하고, 연결편은 결항 조치하였음.","""돌풍(풍속 30kts)으로 인하여""",,,,,,,
"1,116.00",GYRO 132,,"DANAN 1마일 전부터 강하를 위한 조작을 하다가 DANAN 통과 시 절차고도인 5,000ft보다 약 150~200ft 정도 낮게 통과하였음. 당시 우리의 위치가 FIX로부터 약 1NM 이내에 있었기 때문에 안전상의 문제는 없었다고 판단되며, ATC에서도 이에 대한 조언이 없었음. 강하를 서두르는 과정에서 절차고도를 준수하지 못했으며, 좀 더 침착한 판단과 대응이 강조되었던 상황이었음. ","""강하를 서두르는 과정에서 절차고도를 준수하지 못했으며"", ""좀 더 침착한 판단과 대응이 강조되었던 상황이었음""",,,,,,,
